name,level,school,concentration,casting_time,duration,save_type,damage_dice,healing_dice,effect_dice,targets,aoe_size,conditions,buffs,effect
Lightning Bolt,3,Evocation,No,1 action,Instantaneous,Dexterity,8d6 Lightning,,,All creatures in area,,,,
Locate Animals or Plants,2,Divination,No,1 action,Instantaneous,,,,,Self,,,,Divination/Scrying
Locate Creature,4,Divination,Yes,1 action,"Concentration, up to 1 hour",,,,,Self,,,,Polymorph; Divination/Scrying
Locate Object,2,Divination,Yes,1 action,"Concentration, up to 10 minutes",,,,,Self,,,,Divination/Scrying
Longstrider,1,Transmutation,No,1 action,1 hour,,,,,Single target,,,,
Mage Armor,1,Abjuration,No,1 action,8 hours,,,,,Single target,,,,
Mage Hand,0,Conjuration,No,1 action,1 minute,,,,,Single target,,,,
Magecraft,0,Divination,Yes,1 action,"Concentration, 1 minute",,,,1d6,Self,,,,Divination/Scrying
Magic Circle,3,Abjuration,No,1 minute,Special,Charisma,,,,Multi-target,,Charmed; Frightened,Attackers have Disadvantage; Advantage on attacks,Teleport; Impose Disadvantage (attacks)
Magic Jar,6,Necromancy,No,1 minute,Until dispelled,Charisma,,,,Self,,Incapacitated,,
Magic Missile,1,Evocation,No,1 action,Instantaneous,,1d4 + 1 Force,,,Single target,,,,Conjure/Create
Magic Mouth,2,Illusion,No,1 minute,Until dispelled,,,,,Single target,,,,
Magic Weapon,2,Transmutation,No,1 bonus action,1 hour,,,,,Single target,,,,
Major Image,3,Illusion,Yes,1 action,"Concentration, up to 10 minutes",,,,,AoE (Cube),20-foot Cube,,,Conjure/Create
Mass Cure Wounds,5,Abjuration,No,1 action,Instantaneous,,,5d8,,AoE (Sphere),30-foot-radius Sphere,,,Healing
Mass Heal,9,Abjuration,No,1 action,Instantaneous,,,,,Single target,,Blinded; Deafened; Poisoned,,Healing; Healing
Mass Healing Word,3,Abjuration,No,1 bonus action,Instantaneous,,,2d4,,Single target,,,,Healing
Mass Suggestion,6,Enchantment,No,1 action,24 hours,Wisdom,,,,Single target,,Charmed,,
Maze,8,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",,,,,Single target,,,,
Meld into Stone,3,Transmutation,No,1 action,8 hours,,6d6,,,Single target,,Prone,,
Melf's Acid Arrow,2,Evocation,No,1 action,Instantaneous,Ranged Attack,4d4 Acid; 2d4 Acid,,,Single target,,,,
Mending,0,Transmutation,No,1 minute,Instantaneous,,,,,Single target,,,,
Message,0,Transmutation,No,1 action,1 round,,,,,Single target,,,,
Meteor Swarm,9,Evocation,No,1 action,Instantaneous,Dexterity,20d6 Fire; 20d6 Bludgeoning,,,AoE (Sphere),40-foot-radius Sphere,,,
Mind Blank,8,Abjuration,No,1 action,24 hours,,,,,Single target,,Charmed,Immunity,
Mind Sliver,0,Enchantment,No,1 action,1 round,Intelligence,1d6 Psychic; 1d4; 1d6; 2d6; 3d6; 4d6,,,Single target,,,,
Mind Spike,2,Divination,Yes,1 action,"Concentration, up to 1 hour",Wisdom,3d8 Psychic,,,Single target,,Invisible,,Invisibility; Divination/Scrying
Minor Illusion,0,Illusion,No,1 action,1 minute,,,,,AoE (Cube),5-foot Cube,,,
Mirage Arcane,7,Illusion,No,10 minutes,10 days,,,,,Single target,,,,
Mirror Image,2,Illusion,No,1 action,1 minute,,,,,Self,,Blinded,,
Mislead,5,Illusion,Yes,1 action,"Concentration, up to 1 hour",,,,,Self,,Invisible,,Invisibility
Misty Step,2,Conjuration,No,1 bonus action,Instantaneous,,,,,Self,,,,Teleport
Modify Memory,5,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Charmed; Incapacitated,,Curse
Mold Earth,0,Transmutation,No,1 action,Instantaneous or 1 hour,,,,,AoE (Cube),5-foot cube,,,
Moonbeam,2,Evocation,Yes,1 action,"Concentration, up to 1 minute",Constitution,2d10 Radiant,,,All creatures in area,,,,Polymorph
Mordenkainen's Faithful Hound,4,Conjuration,No,1 action,8 hours,Dexterity,4d8 Force,,,Single target,,,,Conjure/Create
Mordenkainen's Magnificent Mansion,7,Conjuration,No,1 minute,24 hours,,,,,AoE (Cube),10-foot Cube,,,Conjure/Create
Mordenkainen's Private Sanctum,4,Abjuration,No,10 minutes,24 hours,,,,,Single target,,,,Teleport; Divination/Scrying
Mordenkainen's Sword,7,Evocation,Yes,1 action,"Concentration, up to 1 minute",Melee Attack,4d12,,,Single target,,,,
Move Earth,6,Transmutation,Yes,1 action,"Concentration, up to 2 hours",,,,,Single target,,,,Conjure/Create
Nondetection,3,Abjuration,No,1 action,8 hours,,,,,Single target,,,,Divination/Scrying
Nystul's Magic Aura,2,Illusion,No,1 action,24 hours,,,,,Single target,,,,
Orien Step,0,Transmutation,No,1 bonus action,Instantaneous,,,,,Self,,,,Teleport
Otiluke's Freezing Sphere,6,Evocation,No,1 action,Instantaneous,Constitution,10d6 Cold,,,AoE (Sphere),60-foot-radius Sphere,Restrained,,
Otiluke's Resilient Sphere,4,Abjuration,Yes,1 action,"Concentration, up to 1 minute",Dexterity,,,,Single target,,,,
Otto's Irresistible Dance,6,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Dexterity; Wisdom,,,,Single target,,Charmed,Advantage on attacks,Impose Disadvantage (saves)
Pass without Trace,2,Abjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,AoE (Emanation),30-foot Emanation,,,
Passwall,5,Transmutation,No,1 action,1 hour,,,,,Single target,,,,
Phantasmal Force,2,Illusion,Yes,1 action,"Concentration, up to 1 minute",Intelligence,2d8 Psychic,,,AoE (Cube),10-foot Cube,,,Conjure/Create
Phantasmal Killer,4,Illusion,Yes,1 action,"Concentration, up to 1 minute",Wisdom,4d10 Psychic,,,Single target,,,Advantage on attacks,Impose Disadvantage (attacks); Conjure/Create
Phantom Steed,3,Illusion,No,1 minute,1 hour,,,,,Single target,,,,
Planar Ally,6,Conjuration,No,10 minutes,Instantaneous,,,,,Single target,,,,Flight
Planar Binding,5,Abjuration,No,1 hour,24 hours,Charisma,,,,Single target,,,,
Plane Shift,7,Conjuration,No,1 action,Instantaneous,,,,,Single target,,,,Teleport
Plant Growth,3,Transmutation,No,special,Instantaneous,,,,,AoE (Sphere),100-foot-radius Sphere,,,
Poison Spray,0,Necromancy,No,1 action,Instantaneous,Ranged Attack,1d12 Poison; 1d12; 2d12; 3d12; 4d12,,,Single target,,,,
Polymorph,4,Transmutation,Yes,1 action,"Concentration, up to 1 hour",Wisdom,,,,Single target,,,Temp HP,
Power Word Fortify,7,Enchantment,No,1 action,Instantaneous,,,,,Single target,,,Temp HP,
Power Word Heal,9,Enchantment,No,1 action,Instantaneous,,,,,Single target,,Charmed; Frightened; Paralyzed; Poisoned; Prone; Stunned,,Healing
Power Word Kill,9,Enchantment,No,1 action,Instantaneous,,,,,Single target,,,,
Power Word Stun,8,Enchantment,No,1 action,Instantaneous,,,,,Single target,,Stunned,,
Prayer of Healing,2,Abjuration,No,10 minutes,Instantaneous,,,2d8,,Multi-target,,,,Healing
Prestidigitation,0,Transmutation,No,1 action,1 hour,,,,,Single target,,,,Negate damage
Prismatic Spray,7,Evocation,No,1 action,Instantaneous,Dexterity,1d8,,,AoE (Cone),60-foot Cone,,,
Prismatic Wall,9,Abjuration,No,1 action,10 minutes,Dexterity; Constitution,12d6 Fire; 12d6 Acid; 12d6 Lightning; 12d6 Poison; 12d6 Cold,,,Single target,,Blinded; Petrified; Restrained,,Teleport
Produce Flame,0,Conjuration,No,1 bonus action,10 minutes,Ranged Attack,1d8 Fire; 1d8; 2d8; 3d8; 4d8,,,Self,,,,
Programmed Illusion,6,Illusion,No,1 action,Until dispelled,,,,,AoE (Cube),30-foot Cube,,,Conjure/Create
Project Image,7,Illusion,Yes,1 action,"Concentration, up to 1 day",,,,,Single target,,,,
Protection from Energy,3,Abjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,
Protection from Evil and Good,1,Abjuration,Yes,1 action,"Concentration, up to 10 minutes",,,,,Single target,,Charmed; Frightened,Attackers have Disadvantage; Advantage on attacks,Impose Disadvantage (attacks); Impose Disadvantage (saves); Advantage on saves
Protection from Poison,2,Abjuration,No,1 action,1 hour,,,,,Single target,,Poisoned,,Advantage on saves
Purify Food and Drink,1,Transmutation,No,1 action,Instantaneous,,,,,AoE (Sphere),5-foot-radius Sphere,,,
Raise Dead,5,Necromancy,No,1 hour,Instantaneous,,,,,Self,,,,
Rary's Telepathic Bond,5,Divination,No,1 action,1 hour,,,,,All creatures in area,,,,Divination/Scrying
Ray of Enfeeblement,2,Necromancy,Yes,1 action,"Concentration, up to 1 minute",Constitution,1d8,,,Single target,,,,
Ray of Frost,0,Evocation,No,1 action,Instantaneous,Ranged Attack,1d8 Cold; 1d8; 2d8; 3d8; 4d8,,,Single target,,,,
Ray of Sickness,1,Necromancy,No,1 action,Instantaneous,Ranged Attack,2d8 Poison,,,Single target,,Poisoned,,
Regenerate,7,Transmutation,No,1 minute,1 hour,,,,,Single target,,,,Healing
Reincarnate,5,Necromancy,No,1 hour,Instantaneous,,,,,Single target,,,,
Remove Curse,3,Abjuration,No,1 action,Instantaneous,,,,,Single target,,Cursed,,Curse
Resistance,0,Abjuration,Yes,1 action,"Concentration, up to 1 minute",,1d4,,,Single target,,,,
Resurrection,7,Necromancy,No,1 hour,Instantaneous,,,,,Single target,,,,Healing
Reverse Gravity,7,Transmutation,Yes,1 action,"Concentration, up to 1 minute",Dexterity,,,,Single target,,,,
Revivify,3,Necromancy,No,1 action,Instantaneous,,,,,Single target,,,,Healing
Rope Trick,2,Transmutation,No,1 action,1 hour,,,,,Single target,,Invisible,,Invisibility
Sacred Flame,0,Evocation,No,1 action,Instantaneous,Dexterity,1d8 Radiant; 1d8; 2d8; 3d8; 4d8,,,Single target,,,,
Sanctuary,1,Abjuration,No,1 bonus action,1 minute,,,,,Single target,,,,
Scorching Ray,2,Evocation,No,1 action,Instantaneous,Ranged Attack,2d6 Fire,,,Single target,,,,
Scrying,5,Divination,Yes,10 minutes,"Concentration, up to 10 minutes",Wisdom,,,,Self,,Invisible,,Invisibility; Divination/Scrying
Searing Smite,1,Evocation,No,1 bonus action,1 minute,Constitution,1d6 Fire,,,Self,,,,
See Invisibility,2,Divination,No,1 action,1 hour,,,,,Self,,Invisible,,Invisibility; Divination/Scrying
Seeming,5,Illusion,No,1 action,8 hours,Charisma,,,,All creatures in area,,,,
Sending,3,Divination,No,1 action,Instantaneous,,,,,Single target,,,,Divination/Scrying
Sequester,7,Transmutation,No,1 action,Until dispelled,,,,,Single target,,Invisible; Unconscious,,Invisibility; Divination/Scrying
Shapechange,9,Transmutation,Yes,1 action,"Concentration, up to 1 hour",,,,,Self,,,Temp HP,
Shatter,2,Evocation,No,1 action,Instantaneous,Constitution,3d8 Thunder,,,AoE (Sphere),10-foot-radius Sphere,,,
Shield of Faith,1,Abjuration,Yes,1 bonus action,"Concentration, up to 10 minutes",,,,,Single target,,,+2 AC,
Shield,1,Abjuration,No,1 reaction,1 round,,,,,Self,,,+5 AC,Negate damage
Shillelagh,0,Transmutation,No,1 bonus action,1 minute,,2d6,,,Self,,,,
Shining Smite,2,Transmutation,Yes,1 bonus action,"Concentration, up to 1 minute",,2d6 Radiant,,,Self,,Invisible,,Invisibility
Shocking Grasp,0,Evocation,No,1 action,Instantaneous,Melee Attack,1d8 Lightning; 1d8; 2d8; 3d8; 4d8,,,Single target,,,,
Silence,2,Illusion,Yes,1 action,"Concentration, up to 10 minutes",,,,,AoE (Sphere),20-foot-radius Sphere,Deafened,Immunity,
Silent Image,1,Illusion,Yes,1 action,"Concentration, up to 10 minutes",,,,,AoE (Cube),15-foot Cube,,,Conjure/Create
Simbul's Synostodweomer,7,Transmutation,No,1 action,1 hour,,,,,Single target,,,,Healing
Simulacrum,7,Illusion,No,12 hours,Until dispelled,,,,,Single target,,,,Healing; Healing; Conjure/Create
Sleep,1,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,AoE (Sphere),5-foot-radius Sphere,Exhaustion; Incapacitated; Unconscious,Immunity,
Sleet Storm,3,Conjuration,Yes,1 action,"Concentration, up to 1 minute",Dexterity,,,,AoE (Cylinder),20-foot-radius Cylinder,Prone,,
Slow,3,Transmutation,Yes,1 action,"Concentration, up to 1 minute",Dexterity; Wisdom,1d100,,,AoE (Cube),40-foot Cube,,,
Songal's Elemental Suffusion,5,Transmutation,Yes,1 action,"Concentration, 1 minute",Dexterity,2d6 Acid,,,AoE (Emanation),15-foot Emanation,Prone,,Flight
Sorcerous Burst,0,Evocation,No,1 action,Instantaneous,,1d8; 2d8; 3d8; 4d8,,,Single target,,,,
Spare the Dying,0,Necromancy,No,1 action,Instantaneous,,,,,Single target,,,,
Speak with Animals,1,Divination,No,1 action,10 minutes,,,,,Self,,,,Divination/Scrying
Speak with Dead,3,Necromancy,No,1 action,10 minutes,,,,,Single target,,,,
Speak with Plants,3,Transmutation,No,1 action,10 minutes,,,,,AoE (Emanation),30-foot Emanation,,,
Spellfire Flare,1,Evocation,No,1 action,Instantaneous,Ranged Attack,2d10 Radiant,,,Single target,,,,
Spellfire Storm,4,Evocation,Yes,1 action,"Concentration, 1 minute",Constitution,4d10 Radiant,,,All creatures in area,,,,Conjure/Create
Spider Climb,2,Transmutation,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,
Spike Growth,2,Transmutation,Yes,1 action,"Concentration, up to 10 minutes",,2d4,,,AoE (Sphere),20-foot-radius Sphere,,,
Spirit Guardians,3,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Wisdom,3d8 Radiant; 3d8 Necrotic,,,AoE (Emanation),15-foot Emanation,,,
Spiritual Weapon,2,Evocation,Yes,1 bonus action,"Concentration, up to 1 minute",Melee Attack,1d8,,,Single target,,,,Conjure/Create
Staggering Smite,4,Enchantment,No,1 bonus action,Instantaneous,Wisdom,4d6 Psychic,,,Self,,Stunned,,
Starry Wisp,0,Evocation,No,1 action,Instantaneous,Ranged Attack,1d8 Radiant; 1d8; 2d8; 3d8; 4d8,,,Single target,,Invisible,,Invisibility
Steel Wind Strike,5,Conjuration,No,1 action,Instantaneous,Melee Attack,6d10 Force,,,Multi-target,,,,Teleport
Stinking Cloud,3,Conjuration,Yes,1 action,"Concentration, up to 1 minute",Constitution,,,,AoE (Sphere),20-foot-radius Sphere,Poisoned,,
Stone Shape,4,Transmutation,No,1 action,Instantaneous,,,,,Single target,,,,
Stoneskin,4,Transmutation,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,
Storm of Vengeance,9,Conjuration,Yes,1 action,"Concentration, up to 1 minute",Dexterity; Constitution,2d6 Thunder; 4d6 Acid; 10d6 Lightning; 2d6 Bludgeoning; 1d6 Cold,,,All creatures in area,,Deafened,,
Suggestion,2,Enchantment,Yes,1 action,"Concentration, up to 8 hours",Wisdom,,,,Single target,,Charmed,,
Summon Aberration,4,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,Flight
Summon Beast,2,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,Flight
Summon Celestial,5,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,
Summon Construct,4,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,
Summon Dragon,5,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,
Summon Elemental,4,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,Flight
Summon Fey,3,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,
Summon Fiend,6,Conjuration,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,Flight
Summon Undead,3,Necromancy,Yes,1 action,"Concentration, up to 1 hour",,,,,Single target,,,,Flight
Sunbeam,6,Evocation,Yes,1 action,"Concentration, up to 1 minute",Constitution,6d8 Radiant,,,All creatures in area,,Blinded,,
Sunburst,8,Evocation,No,1 action,Instantaneous,Constitution,12d6 Radiant,,,AoE (Sphere),60-foot-radius Sphere,Blinded,,
Swift Quiver,5,Transmutation,Yes,1 bonus action,"Concentration, up to 1 minute",,,,,Self,,,,
Syluné's Viper,3,Conjuration,No,1 bonus action,1 hour,Ranged Attack,1d6 Force,,,Self,,Incapacitated; Poisoned,Temp HP,
Symbol,7,Abjuration,No,1 minute,Until dispelled or triggered,Constitution; Wisdom,10d10 Necrotic,,,AoE (Sphere),60-foot-radius Sphere,Frightened; Incapacitated; Stunned; Unconscious,Advantage on attacks,Impose Disadvantage (attacks)
Synaptic Static,5,Enchantment,No,1 action,Instantaneous,Constitution; Intelligence,8d6 Psychic; 1d6,,,AoE (Sphere),20-foot-radius Sphere,,,
Tasha's Bubbling Cauldron,6,Conjuration,No,1 action,10 minutes,,,,,Single target,,,,Conjure/Create
Tasha's Hideous Laughter,1,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,,,,Single target,,Incapacitated; Prone,,
Telekinesis,5,Transmutation,Yes,1 action,"Concentration, up to 10 minutes",Strength,,,,Single target,,Restrained,,
Telepathy,8,Divination,No,1 action,24 hours,,,,,Single target,,,,Divination/Scrying; Conjure/Create
Teleport,7,Conjuration,No,1 action,Instantaneous,,1d100; 3d10; 2d12; 1d8,,,Single target,,,,Teleport; Divination/Scrying
Teleportation Circle,5,Conjuration,No,1 minute,1 round,,,,,AoE (Circle),5-foot-radius circle,,,Teleport
Tenser's Floating Disk,1,Conjuration,No,1 action,1 hour,,,,,Single target,,,,
Thaumaturgy,0,Transmutation,No,1 action,1 minute,,,,,Single target,,Invisible,,Invisibility; Flight
Thorn Whip,0,Transmutation,No,1 action,Instantaneous,Melee Attack,1d6 Piercing; 1d6; 2d6; 3d6; 4d6,,,Single target,,,,Conjure/Create
Thunderclap,0,Evocation,No,1 action,Instantaneous,Constitution,1d6 Thunder; 1d6; 2d6; 3d6; 4d6,,,AoE (Emanation),5-foot Emanation,,,
Thunderous Smite,1,Evocation,No,1 bonus action,Instantaneous,Strength,2d6 Thunder,,,Self,,Prone,,Forced movement
Thunderwave,1,Evocation,No,1 action,Instantaneous,Constitution,2d8 Thunder,,,AoE (Cube),15-foot Cube,,,Forced movement
Time Stop,9,Transmutation,No,1 action,Instantaneous,,1d4 + 1,,,Self,,,,Conjure/Create
Toll the Dead,0,Necromancy,No,1 action,Instantaneous,Wisdom,1d8 Necrotic; 2d8; 2d12; 3d8; 3d12; 4d8; 4d12,,,Single target,,,,
Tongues,3,Divination,No,1 action,1 hour,,,,,Single target,,,,Divination/Scrying
Transport via Plants,6,Conjuration,No,1 action,1 minute,,,,,Single target,,,,
Tree Stride,5,Conjuration,Yes,1 action,"Concentration, up to 1 minute",,,,,Self,,,,
True Polymorph,9,Transmutation,Yes,1 action,"Concentration, up to 1 hour",Wisdom,,,,Single target,,,Temp HP,
True Resurrection,9,Necromancy,No,1 hour,Instantaneous,,,,,Single target,,,,
True Seeing,6,Divination,No,1 action,1 hour,,,,,Single target,,,,Divination/Scrying
True Strike,0,Divination,No,1 action,Instantaneous,,1d6; 2d6; 3d6,,,Self,,,,Divination/Scrying
Tsunami,8,Conjuration,Yes,1 minute,1 round,Strength,6d10 Bludgeoning; 5d10 Bludgeoning; 1d10,,,All creatures in area,,,,
Unseen Servant,1,Conjuration,No,1 action,1 hour,,,,,Single target,,Invisible,,Invisibility
Vampiric Touch,3,Necromancy,Yes,1 action,"Concentration, up to 1 minute",Melee Attack,,,,Self,,,,Healing
Vicious Mockery,0,Enchantment,No,1 action,Instantaneous,Wisdom,1d6 Psychic; 1d6; 2d6; 3d6; 4d6,,,Single target,,,,
Vitriolic Sphere,4,Evocation,No,1 action,Instantaneous,Dexterity,10d4 Acid; 5d4,,,AoE (Sphere),20-foot-radius Sphere,,,
Wall of Fire,4,Evocation,Yes,1 action,"Concentration, up to 1 minute",Dexterity,5d8 Fire,,,All creatures in area,,,,Negate damage
Wall of Force,5,Evocation,Yes,1 action,"Concentration, up to 10 minutes",,,,,Single target,,Invisible,,Invisibility
Wall of Ice,6,Evocation,Yes,1 action,"Concentration, up to 10 minutes",Dexterity; Constitution,10d6 Cold; 5d6 Cold,,,Single target,,,Immunity,
Wall of Stone,5,Evocation,Yes,1 action,"Concentration, up to 10 minutes",Dexterity,,,,Single target,,,Immunity,
Wall of Thorns,6,Conjuration,Yes,1 action,"Concentration, up to 10 minutes",Dexterity,7d8 Piercing; 7d8 Slashing,,,All creatures in area,,,,
Wardaway,1,Abjuration,No,1 action,Instantaneous,Constitution,2d4 Force,,,Single target,,,,
Warding Bond,2,Abjuration,No,1 action,1 hour,,,,,Single target,,,+1 AC,
Water Breathing,3,Transmutation,No,1 action,24 hours,,,,,Single target,,,,
Water Walk,3,Transmutation,No,1 action,1 hour,,,,,Single target,,,,
Web,2,Conjuration,Yes,1 action,"Concentration, up to 1 hour",Dexterity,2d4,,,AoE (Cube),20-foot Cube,Restrained,,Conjure/Create
Weird,9,Illusion,Yes,1 action,"Concentration, up to 1 minute",Wisdom,10d10 Psychic; 5d10,,,AoE (Sphere),30-foot-radius Sphere,Frightened,,Conjure/Create
Wind Walk,6,Transmutation,No,1 minute,8 hours,,,,,Single target,,Prone; Stunned,Immunity,Flight
Wind Wall,3,Evocation,Yes,1 action,"Concentration, up to 1 minute",Strength,4d8 Bludgeoning,,,All creatures in area,,,,Flight
Wish,9,Conjuration,No,1 action,Instantaneous,,1d10 Necrotic; 2d4; 1d3,,,Self,,,Immunity,Healing
Witch Bolt,1,Evocation,Yes,1 action,"Concentration, up to 1 minute",Ranged Attack,2d12 Lightning; 1d12 Lightning,,,Single target,,,,
Word of Radiance,0,Evocation,No,1 action,Instantaneous,Constitution,1d6 Radiant; 1d6; 2d6; 3d6; 4d6,,,AoE (Emanation),5-foot Emanation,,,
Word of Recall,6,Conjuration,No,1 action,Instantaneous,,,,,Single target,,,,Teleport
Wrathful Smite,1,Necromancy,No,1 bonus action,1 minute,Wisdom,1d6 Necrotic,,,Self,,Frightened,,
Yolande's Regal Presence,5,Enchantment,Yes,1 action,"Concentration, up to 1 minute",Wisdom,4d6 Psychic,,,AoE (Emanation),10-foot Emanation,Prone,,
Zone of Truth,2,Enchantment,No,1 action,10 minutes,Charisma,,,,AoE (Sphere),15-foot-radius Sphere,,,Conjure/Create
